model_name,original_dataset,dataset,required_image_size,remark,split,batch_size,epochs,GPUTYPE,random_seed,learning_rate,DEVICE,testSet_after_transfer_learning,validationSet_after_transfer_learning,trainingSet_after_transfer_learning,testSet_after_fine_tune,rank,validationSet_after_fine_tune,trainingSet_after_fine_tune,model_size,test_time(s),tl_fit_time(min),ft_fit_time(min)
convnext_xlarge_21k_224,ImageNet-21k,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,2,2022,0.01,Tesla V100-SXM2-32GB:0,0.86500001,0.862200022,0.985949993,0.923399985,1,0.927200019,0.999875009,2665.3,649.889,406,1057
convnext_large_1k_224_fe_1,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,2,2022,0.01,Tesla V100-SXM2-32GB:3,0.755400002,0.749300003,0.800149977,0.891700029,2,0.893100023,0.999875009,1505.9,448.106,280,718
imagenet_efficientnet_v2,ILSVRC-2012-CLS,cifar100,480,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,3,2022,0.01,NVIDIA A100-SXM4-80GB:3,0.74849999,0.745800018,0.844649971,0.86500001,3,0.860400021,0.998049974,919.1,312.711,194,625
convnext_tiny_1k_224_fe_1,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:4,0.729700029,0.737200022,0.824599981,0.858900011,4,0.856899977,0.999774992,217.5,130.77,81,178
imagenet_efficientnet_v2_imagenet21k_ft1k_l,ImageNet-21k,cifar100,480,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,3,2022,0.01,NVIDIA A100-SXM4-80GB:2,0.776199996,0.773400009,0.967275023,0.854399979,5,0.857900023,0.994400024,919.1,292.637,187,603
imagenet_efficientnet_v2_imagenet21k_ft1k_m,ImageNet-21k,cifar100,480,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,3,2022,0.01,NVIDIA A100-SXM4-80GB:0,0.761099994,0.75910002,0.964100003,0.853100002,6,0.859600008,0.995500028,421.5,178.832,113,351
imagenet_efficientnet_v2_imagenet21k_ft1k_b3,ImageNet-21k,cifar100,300,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:0,0.737200022,0.737500012,0.922675014,0.833599985,7,0.836300015,0.993849993,109,81.257,57,138
bit_s-r152x4_1,ILSRCV-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,3,2022,0.01,NVIDIA A100-SXM4-80GB:1,0.741900027,0.746599972,0.97557497,0.825699985,8,0.825500011,0.999875009,7124.8,806.06,512,1361
imagenet_efficientnet_v2_imagenet1k_b2,imagenet1k,cifar100,260,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:6,0.593900025,0.598999977,0.766875029,0.822600007,9,0.828999996,0.992524981,76.1,70.413,43,112
imagenet_efficientnet_v2_imagenet21k_ft1k_b2,ImageNet-21k,cifar100,260,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.691299975,0.68870002,0.911324978,0.82099998,10,0.819999993,0.992299974,76.1,65.648,44,103
imagenet_efficientnet_v2_imagenet1k_b1,ILSVRC-2012-CLS,cifar100,240,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,GeForce RTX 3090:1,0.605300009,0.5995,0.764949977,0.820500016,11,0.819500029,0.991050005,61.7,64.865,35,96
efficientnet_b2,ILSVRC-2012-CLS,cifar100,260,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:1,0.742399991,0.738900006,0.960425019,0.818000019,12,0.820599973,0.990824997,73.1,77.618,43,202
imagenet_efficientnet_v2_imagenet21k_ft1k_b2,imagenet21k,cifar100,260,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:3,0.691500008,0.688399971,0.911475003,0.815299988,13,0.819299996,0.989849985,76.1,64.472,40,110
imagenet_efficientnet_v2_imagenet1k_b0,ILSVRC-2012-CLS,cifar100,224,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,0,2022,0.01,GeForce RTX 3090:7,0.596000016,0.594600022,0.777175009,0.814800024,14,0.810599983,0.988300025,52.8,50.871,32,82
imagenet_nasnet_large,ILSVRC-2012-CLS,cifar100,331,whole,"['train[:40000]', 'train[40000:]', 'test']",16,30,1,2022,0.01,NVIDIA A100-SXM4-80GB:0,0.725499988,0.729499996,0.98012501,0.814700007,15,0.825699985,0.989324987,670.5,212.021,125,1376
